"sid" "first.saccade.latency" "type" "N"
"0304b" 0.297760009765625 "data" 185
"0304b" 0.287422895431519 "data" 185
"0304b" 0.296732902526855 "data" 185
"0304b" 0.304804086685181 "data" 185
"0304b" 0.271573066711426 "data" 185
"0304b" 0.263396978378296 "data" 185
"0304b" 0.276455879211426 "data" 185
"0304b" 0.2376868724823 "data" 185
"0304b" 0.272736072540283 "data" 185
"0304b" 0.00802707672119141 "data" 185
"0304b" 0.253041982650757 "data" 185
"0304b" 0.231026172637939 "data" 185
"0304b" 0.304627895355225 "data" 185
"0304b" 0.237520933151245 "data" 185
"0304b" 0.305979013442993 "data" 185
"0304b" 0.270826816558838 "data" 185
"0304b" 0.315983057022095 "data" 185
"0304b" 0.282236099243164 "data" 185
"0304b" 0.27153205871582 "data" 185
"0304b" 0.271733999252319 "data" 185
"0304b" 0.215806007385254 "data" 185
"0304b" 0.274384021759033 "data" 185
"0304b" 0.271636009216309 "data" 185
"0304b" 0.255631923675537 "data" 185
"0304b" 0.241662979125977 "data" 185
"0304b" 0.238312005996704 "data" 185
"0304b" 0.242439031600952 "data" 185
"0304b" 0.291711091995239 "data" 185
"0304b" 0.25246787071228 "data" 185
"0304b" 0.281522035598755 "data" 185
"0304b" 0.271566152572632 "data" 185
"0304b" 0.556772947311401 "data" 185
"0304b" 0.277846097946167 "data" 185
"0304b" 0.341815948486328 "data" 185
"0304b" 0.260771036148071 "data" 185
"0304b" 0.26061487197876 "data" 185
"0304b" 0.252424955368042 "data" 185
"0304b" 0.262709856033325 "data" 185
"0304b" 0.403450012207031 "data" 185
"0304b" 0.272023916244507 "data" 185
"0304b" 0.270303964614868 "data" 185
"0304b" 0.273115873336792 "data" 185
"0304b" 0.272123098373413 "data" 185
"0304b" 0.339200973510742 "data" 185
"0304b" 0.279728889465332 "data" 185
"0304b" 0.304929971694946 "data" 185
"0304b" 0.404751062393188 "data" 185
"0304b" 0.271030902862549 "data" 185
"0304b" 0.298771858215332 "data" 185
"0304b" 0.279291152954102 "data" 185
"0304b" 0.298341035842896 "data" 185
"0304b" 0.270769119262695 "data" 185
"0304b" 0.274091005325317 "data" 185
"0304b" 0.262695074081421 "data" 185
"0304b" 0.263159036636353 "data" 185
"0304b" 0.344162225723267 "data" 185
"0304b" 0.292125940322876 "data" 185
"0304b" 0.248219966888428 "data" 185
"0304b" 0.250781059265137 "data" 185
"0304b" 0.252509832382202 "data" 185
"0304b" 0.26301097869873 "data" 185
"0304b" 0.252053022384644 "data" 185
"0304b" 0.337174892425537 "data" 185
"0304b" 0.25360894203186 "data" 185
"0304b" 0.306421995162964 "data" 185
"0304b" 0.304424047470093 "data" 185
"0304b" 0.271157026290894 "data" 185
"0304b" 0.315686225891113 "data" 185
"0304b" 0.282080888748169 "data" 185
"0304b" 0.411669969558716 "data" 185
"0304b" 0.270612955093384 "data" 185
"0304b" 0.249797105789185 "data" 185
"0304b" 0.294301986694336 "data" 185
"0304b" 0.189275026321411 "data" 185
"0304b" 0.319316864013672 "data" 185
"0304b" 0.241700887680054 "data" 185
"0304b" 0.541105985641479 "data" 185
"0304b" 0.281366109848022 "data" 185
"0304b" 0.30649995803833 "data" 185
"0304b" 0.279974937438965 "data" 185
"0304b" 0.329018115997314 "data" 185
"0304b" 0.293818950653076 "data" 185
"0304b" 0.30662989616394 "data" 185
"0304b" 0.289151906967163 "data" 185
"0304b" 0.510132074356079 "data" 185
"0304b" 0.291827917098999 "data" 185
"0304b" 0.29197096824646 "data" 185
"0304b" 0.304368019104004 "data" 185
"0304b" 0.305528879165649 "data" 185
"0304b" 0.24692177772522 "data" 185
"0304b" 0.276279211044312 "data" 185
"0304b" 0.319972038269043 "data" 185
"0304b" 0.291642904281616 "data" 185
"0304b" 0.286559104919434 "data" 185
"0304b" 0.230798006057739 "data" 185
"0304b" 0.28784704208374 "data" 185
"0304b" 0.281396865844727 "data" 185
"0304b" 0.271923065185547 "data" 185
"0304b" 0.282339811325073 "data" 185
"0304b" 0.256434202194214 "data" 185
"0304b" 0.337929964065552 "data" 185
"0304b" 0.217957019805908 "data" 185
"0304b" 0.33769702911377 "data" 185
"0304b" 0.321643114089966 "data" 185
"0304b" 0.270899057388306 "data" 185
"0304b" 0.308089971542358 "data" 185
"0304b" 0.278865098953247 "data" 185
"0304b" 0.271651029586792 "data" 185
"0304b" 0.251364231109619 "data" 185
"0304b" 0.296818017959595 "data" 185
"0304b" 0.271527051925659 "data" 185
"0304b" 0.239305019378662 "data" 185
"0304b" 0.245281934738159 "data" 185
"0304b" 0.295370101928711 "data" 185
"0304b" 0.306030988693237 "data" 185
"0304b" 0.313764810562134 "data" 185
"0304b" 0.25284218788147 "data" 185
"0304b" 0.250454902648926 "data" 185
"0304b" 0.25010085105896 "data" 185
"0304b" 0.278223991394043 "data" 185
"0304b" 0.323969841003418 "data" 185
"0304b" 0.244086027145386 "data" 185
"0304b" 0.270992040634155 "data" 185
"0304b" 0.249015092849731 "data" 185
"0304b" 0.277574062347412 "data" 185
"0304b" 0.23858904838562 "data" 185
"0304b" 0.244113922119141 "data" 185
"0304b" 0.243056058883667 "data" 185
"0304b" 0.220971822738647 "data" 185
"0304b" 0.269473075866699 "data" 185
"0304b" 0.26274299621582 "data" 185
"0304b" 0.110978126525879 "data" 185
"0304b" 0.00737214088439941 "data" 185
"0304b" 0.257050037384033 "data" 185
"0304b" 0.272433042526245 "data" 185
"0304b" 0.259300947189331 "data" 185
"0304b" 0.29587984085083 "data" 185
"0304b" 0.305160045623779 "data" 185
"0304b" 0.295129060745239 "data" 185
"0304b" 0.326658010482788 "data" 185
"0304b" 0.271359920501709 "data" 185
"0304b" 0.264116048812866 "data" 185
"0304b" 0.288563966751099 "data" 185
"0304b" 0.290961027145386 "data" 185
"0304b" 0.328541994094849 "data" 185
"0304b" 0.230409860610962 "data" 185
"0304b" 0.26137900352478 "data" 185
"0304b" 0.27187705039978 "data" 185
"0304b" 0.271126985549927 "data" 185
"0304b" 0.25042986869812 "data" 185
"0304b" 0.356788873672485 "data" 185
"0304b" 0.224027872085571 "data" 185
"0304b" 0.255941152572632 "data" 185
"0304b" 0.271914958953857 "data" 185
"0304b" 0.293859958648682 "data" 185
"0304b" 0.254552125930786 "data" 185
"0304b" 0.259656190872192 "data" 185
